PM2.5,PM10,PM1.0,DATE,ID
6,8,4,2020-11-04 19:52:10,2
5,6,3,2020-11-04 19:52:41,2
6,6,3,2020-11-04 19:53:11,2
9,10,4,2020-11-04 19:53:41,2
11,12,3,2020-11-04 19:54:11,2
11,13,3,2020-11-04 19:54:42,2
12,13,4,2020-11-04 19:55:12,2
9,9,3,2020-11-04 19:55:42,2
7,8,2,2020-11-04 19:56:12,2
4,5,2,2020-11-04 19:56:43,2
5,6,3,2020-11-04 19:57:13,2
6,6,3,2020-11-04 19:57:43,2
6,6,3,2020-11-04 19:58:13,2
6,6,3,2020-11-04 19:58:44,2
6,8,4,2020-11-04 19:59:15,2
6,10,4,2020-11-04 19:59:46,2
6,10,4,2020-11-04 20:00:16,2
6,8,3,2020-11-04 20:00:46,2
6,6,3,2020-11-04 20:01:17,2
6,7,3,2020-11-04 20:01:47,2
2,4,2,2020-11-04 20:02:17,2
2,3,2,2020-11-04 20:02:47,2
1,2,1,2020-11-04 20:03:18,2
2,5,2,2020-11-04 20:03:48,2
3,5,3,2020-11-04 20:04:18,2
4,6,4,2020-11-04 20:04:48,2
7,8,4,2020-11-04 20:05:19,2
7,9,5,2020-11-04 20:05:49,2
10,11,4,2020-11-04 20:06:19,2
11,13,4,2020-11-04 20:06:49,2
12,14,2,2020-11-04 20:07:19,2
10,11,2,2020-11-04 20:07:50,2
6,6,3,2020-11-04 20:08:21,2
3,4,3,2020-11-04 20:08:51,2
3,4,3,2020-11-04 20:09:21,2
6,7,3,2020-11-04 20:09:52,2
6,7,3,2020-11-04 20:10:23,2
6,6,4,2020-11-04 20:10:54,2
3,4,3,2020-11-04 20:11:25,2
5,6,2,2020-11-04 20:11:55,2
7,9,2,2020-11-04 20:12:25,2
8,9,3,2020-11-04 20:12:56,2
6,8,3,2020-11-04 20:13:26,2
3,5,3,2020-11-04 20:13:57,2
9,10,4,2020-11-04 20:14:27,2
9,9,4,2020-11-04 20:14:57,2
9,9,3,2020-11-04 20:15:28,2
3,3,3,2020-11-04 20:15:58,2
4,4,4,2020-11-04 20:16:28,2
5,5,5,2020-11-04 20:16:58,2
7,8,4,2020-11-04 20:17:29,2
7,9,5,2020-11-04 20:18:00,2
9,11,4,2020-11-04 20:18:30,2
7,7,4,2020-11-04 20:19:00,2
9,9,4,2020-11-04 20:19:31,2
7,7,4,2020-11-04 20:20:02,2
6,7,3,2020-11-04 20:20:32,2
9,9,4,2020-11-04 20:21:03,2
11,12,3,2020-11-04 20:21:33,2
10,11,2,2020-11-04 20:22:03,2
10,12,2,2020-11-04 20:22:34,2
11,12,3,2020-11-04 20:23:05,2
6,7,4,2020-11-04 20:23:35,2
11,12,4,2020-11-04 20:24:05,2
8,11,4,2020-11-04 20:24:35,2
12,15,5,2020-11-04 20:25:06,2
7,10,5,2020-11-04 20:25:36,2
10,11,5,2020-11-04 20:26:07,2
10,12,4,2020-11-04 20:26:37,2
9,11,3,2020-11-04 20:27:08,2
7,9,4,2020-11-04 20:27:38,2
10,10,4,2020-11-04 20:28:09,2
10,11,5,2020-11-04 20:28:40,2
11,13,5,2020-11-04 20:29:11,2
5,7,5,2020-11-04 20:29:41,2
4,5,4,2020-11-04 20:30:12,2
4,6,4,2020-11-04 20:30:42,2
7,9,4,2020-11-04 20:31:12,2
7,10,4,2020-11-04 20:31:43,2
7,10,4,2020-11-04 20:32:13,2
4,7,4,2020-11-04 20:32:43,2
8,12,4,2020-11-04 20:33:13,2
11,13,4,2020-11-04 20:33:44,2
11,13,4,2020-11-04 20:34:14,2
7,8,5,2020-11-04 20:34:44,2
9,10,4,2020-11-04 20:35:14,2
10,10,4,2020-11-04 20:35:45,2
12,13,4,2020-11-04 20:36:15,2
7,8,4,2020-11-04 20:36:45,2
7,7,4,2020-11-04 20:37:16,2
4,4,4,2020-11-04 20:37:47,2
6,7,3,2020-11-04 20:38:17,2
6,8,3,2020-11-04 20:38:48,2
6,10,3,2020-11-04 20:39:18,2
5,8,3,2020-11-04 20:39:49,2
5,8,3,2020-11-04 20:40:20,2
6,7,3,2020-11-04 20:40:51,2
3,5,3,2020-11-04 20:41:21,2
6,7,4,2020-11-04 20:41:51,2
6,8,4,2020-11-04 20:42:21,2
6,7,4,2020-11-04 20:42:53,2
4,5,4,2020-11-04 20:43:24,2
5,5,5,2020-11-04 20:43:54,2
5,5,5,2020-11-04 20:44:24,2
8,9,3,2020-11-04 20:44:54,2
7,7,3,2020-11-04 20:45:25,2
8,10,3,2020-11-04 20:45:56,2
6,8,3,2020-11-04 20:46:26,2
9,11,4,2020-11-04 20:46:56,2
6,8,4,2020-11-04 20:47:26,2
7,9,4,2020-11-04 20:47:57,2
5,7,5,2020-11-04 20:48:27,2
4,5,4,2020-11-04 20:48:57,2
3,4,3,2020-11-04 20:49:27,2
3,3,3,2020-11-04 20:49:58,2
9,11,4,2020-11-04 20:50:29,2
9,11,3,2020-11-04 20:50:59,2
9,11,4,2020-11-04 20:51:29,2
5,6,5,2020-11-04 20:51:59,2
5,7,5,2020-11-04 20:52:30,2
7,9,5,2020-11-04 20:53:00,2
6,7,3,2020-11-04 20:53:31,2
7,8,4,2020-11-04 20:54:02,2
8,10,5,2020-11-04 20:54:32,2
9,11,7,2020-11-04 20:55:02,2
8,10,6,2020-11-04 20:55:33,2
10,12,5,2020-11-04 20:56:03,2
8,11,3,2020-11-04 20:56:33,2
8,11,3,2020-11-04 20:57:03,2
7,9,4,2020-11-04 20:57:34,2
10,12,5,2020-11-04 20:58:04,2
10,11,5,2020-11-04 20:58:35,2
8,10,3,2020-11-04 20:59:05,2
3,3,3,2020-11-04 20:59:35,2
2,2,2,2020-11-04 21:00:06,2
2,3,2,2020-11-04 21:00:37,2
